method,phase,round,epoch,client_id,train_loss,val_loss,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
fedavg,post_agg_val,3,3,04,,-2.8868892092664704,2.1805381377538047,1.853794018427531,True,3,
fedavg,post_agg_val,3,3,05,,-2.925236217147636,1.7756136655807495,1.4529470602671306,True,3,
fedavg,post_agg_val,3,3,06,,-2.811963657975722,2.706834554672241,2.541343371073405,True,3,
fedavg,post_agg_val,3,3,07,,-2.94193355479139,1.449747085571289,1.291049857934316,True,3,
fedavg,post_agg_val,3,3,08,,-2.609514446258545,4.115727821985881,3.9083743890126548,True,3,
fedavg,post_agg_val,3,3,09,,-2.3306685219640317,5.574845790863037,5.414636135101318,True,3,
fedavg,post_agg_val,3,3,10,,-2.9121324237267574,1.9383411407470703,1.8260220487912495,True,3,
fedavg,post_agg_val,3,3,11,,-2.6476395708449343,3.8569270769755044,3.7357496420542398,True,3,
fedavg,post_agg_val,3,3,12,,-2.9066684371546696,1.827101707458496,1.6620004177093506,True,3,
fedavg,post_agg_val,3,3,13,,-2.9160442201940864,2.027890205383301,1.6857281128565471,True,3,
fedavg,post_agg_val,3,3,14,,-2.8845201150505946,2.220069964726766,1.9576075077056885,True,3,
fedavg,post_agg_val,3,3,15,,-2.931532953325556,1.7704637845357258,1.6638514796892803,True,3,
fedavg,post_agg_val,3,3,16,,-2.91740986048165,1.7822255690892537,1.574511965115865,True,3,
fedavg,post_agg_val,3,3,17,,-2.945555405916223,1.5464385747909546,1.3571639855702717,True,3,
fedavg,post_agg_val,3,3,18,,-2.8752223465947195,2.1333351135253906,1.9255553682645161,True,3,
