run_dir,method,client_id,n_samples,avg_mae,avg_rmse,mae_h1,rmse_h1,mae_h2,rmse_h2,mae_h3,rmse_h3
final_fedavg_seed42,fedavg,15,408,1.8944555322329204,2.032383918762207,0.7851368188858032,0.9626400470733644,3.905989170074463,3.965642213821411,0.9922406077384948,1.1688694953918457
final_fedavg_seed42,fedavg,16,518,1.8710106412569685,2.071026007334391,0.817562997341156,1.038969874382019,3.8518574237823486,3.9722745418548575,0.9436115026474,1.2018336057662964
final_fedavg_seed42,fedavg,17,460,2.743551810582479,2.8610118627548218,1.5697706937789917,1.728931546211243,4.873873233795166,4.928586006164551,1.7870115041732788,1.925518035888672
final_fedavg_seed42,fedavg,18,525,4.003574848175049,4.166669766108195,2.843279361724853,3.0462095737457275,6.091521263122559,6.185958862304688,3.0759239196777344,3.26784086227417
final_fedavg_seed42,fedavg,19,496,4.173734188079834,4.250805934270223,2.9445159435272217,3.0435595512390137,6.35666561126709,6.402338981628418,3.2200210094451904,3.3065192699432373
final_fedavg_seed42,fedavg,20,497,7.078036308288574,7.103617191314697,5.735401630401611,5.764306545257568,9.378911018371582,9.396496772766112,6.119796276092529,6.15004825592041
final_local_seed42,local,1,518,1.9130508701006568,1.9963368773460388,2.8917665481567383,2.9360170364379883,2.3370981216430664,2.386141300201416,0.5102879405021667,0.6668522953987122
final_local_seed42,local,2,520,2.9452474117279053,3.070055882136027,2.209695816040039,2.3681623935699463,3.1594340801239014,3.2830381393432617,3.4666123390197754,3.558967113494873
final_local_seed42,local,3,494,1.4475162426630657,1.6330072283744812,1.754347562789917,1.944069504737854,0.7194887399673462,0.9096466898918152,1.8687124252319336,2.0453054904937744
final_local_seed42,local,4,520,0.9491072495778402,1.0927608609199524,0.588646650314331,0.7324435114860535,1.6404026746749878,1.7792937755584717,0.6182724237442017,0.766545295715332
final_local_seed42,local,5,523,1.466527799765269,1.5846539338429768,1.9585376977920528,2.0634450912475586,0.8181913495063782,0.9682459831237792,1.6228543519973757,1.7222707271575928
final_local_seed42,local,6,496,1.28145964940389,1.452236255009969,1.4274439811706543,1.6125891208648682,1.437004804611206,1.5914435386657717,0.9799301624298096,1.1526761054992676
final_local_seed42,local,7,515,1.7033023436864216,1.878569563229879,1.520030856132507,1.715710997581482,1.552314519882202,1.7376465797424316,2.037561655044556,2.1823511123657227
final_local_seed42,local,8,496,2.01592230796814,2.2007627884546914,1.3627536296844482,1.6048812866210938,1.116776943206787,1.3216663599014282,3.568236351013184,3.6757407188415527
final_local_seed42,local,9,504,2.1738571325937905,2.630024035771688,2.295271635055542,2.744840621948242,2.1028249263763428,2.541792392730713,2.1234748363494877,2.6034390926361084
final_local_seed42,local,10,443,0.8059894243876139,0.973943014939626,0.893187403678894,1.1149731874465942,0.7738280296325684,0.9276670217514038,0.7509528398513794,0.8791888356208801
